L1,L2,t,d,Stress,Displacement
40.0,30.0,4.0,12.0,23.013,9.645
40.0,30.0,4.0,18.0,22.686,9.96
40.0,30.0,4.0,24.0,22.383,10.522
40.0,30.0,8.0,12.0,6.1109,1.172
40.0,30.0,8.0,18.0,6.0949,1.222
40.0,30.0,8.0,24.0,6.0249,1.306
40.0,30.0,12.0,12.0,2.7568,3.417
40.0,30.0,12.0,18.0,2.7331,3.593
40.0,30.0,12.0,24.0,2.8522,3.895
40.0,60.0,4.0,12.0,22.753,9.634
40.0,60.0,4.0,18.0,22.517,9.95
40.0,60.0,4.0,24.0,22.288,10.512
40.0,60.0,8.0,12.0,6.0172,1.173
40.0,60.0,8.0,18.0,6.2528,1.222
40.0,60.0,8.0,24.0,6.2679,1.307
40.0,60.0,12.0,12.0,2.839,3.407
40.0,60.0,12.0,18.0,2.7836,3.581
40.0,60.0,12.0,24.0,2.83,3.883
40.0,90.0,4.0,12.0,22.706,9.638
40.0,90.0,4.0,18.0,22.638,9.965
40.0,90.0,4.0,24.0,22.429,10.526
40.0,90.0,8.0,12.0,6.0367,1.173
40.0,90.0,8.0,18.0,6.173,1.222
40.0,90.0,8.0,24.0,5.9871,1.307
40.0,90.0,12.0,12.0,2.8972,3.405
40.0,90.0,12.0,18.0,2.8367,3.585
40.0,90.0,12.0,24.0,2.8803,3.882
60.0,45.0,6.0,15.0,9.9067,2.857
60.0,45.0,6.0,18.0,9.7999,2.919
60.0,45.0,6.0,21.0,9.749,2.997
60.0,45.0,8.0,15.0,5.9764,1.194
60.0,45.0,8.0,18.0,5.9728,1.222
60.0,45.0,8.0,21.0,6.0183,1.26
60.0,45.0,10.0,15.0,4.109,0.6064
60.0,45.0,10.0,18.0,3.9813,0.6221
60.0,45.0,10.0,21.0,4.1028,0.6427
60.0,60.0,6.0,15.0,9.8758,2.857
60.0,60.0,6.0,18.0,9.7787,2.918
60.0,60.0,6.0,21.0,9.755,2.9979999999999998
60.0,60.0,8.0,15.0,5.9697,1.194
60.0,60.0,8.0,18.0,6.2528,1.222
60.0,60.0,8.0,21.0,6.0799,1.2590000000000001
60.0,60.0,10.0,15.0,3.9913,0.6066
60.0,60.0,10.0,18.0,3.9727,0.6224000000000001
60.0,60.0,10.0,21.0,3.9644,0.6432
60.0,75.0,6.0,15.0,9.8161,2.857
60.0,75.0,6.0,18.0,9.8028,2.918
60.0,75.0,6.0,21.0,9.7255,2.9979999999999998
60.0,75.0,8.0,15.0,6.0255,1.194
60.0,75.0,8.0,18.0,6.0468,1.2229999999999999
60.0,75.0,8.0,21.0,5.9551,1.26
60.0,75.0,10.0,15.0,4.1251,0.6064
60.0,75.0,10.0,18.0,3.9814,0.6222
60.0,75.0,10.0,21.0,3.9484,0.6431
80.0,30.0,4.0,12.0,23.013,9.645
80.0,30.0,4.0,18.0,22.686,9.96
80.0,30.0,4.0,24.0,22.383,10.522
80.0,30.0,8.0,12.0,6.1109,1.172
80.0,30.0,8.0,18.0,6.0949,1.222
80.0,30.0,8.0,24.0,6.0249,1.306
80.0,30.0,12.0,12.0,2.7568,3.417
80.0,30.0,12.0,18.0,2.7331,3.593
80.0,30.0,12.0,24.0,2.8522,3.895
80.0,45.0,6.0,15.0,9.9067,2.857
80.0,45.0,6.0,18.0,9.7999,2.919
80.0,45.0,6.0,21.0,9.749,2.997
80.0,45.0,8.0,15.0,5.9764,1.194
80.0,45.0,8.0,18.0,5.9728,1.222
80.0,45.0,8.0,21.0,6.0183,1.26
80.0,45.0,10.0,15.0,4.109,0.6064
80.0,45.0,10.0,18.0,3.9813,0.6221
80.0,45.0,10.0,21.0,4.1028,0.6427
80.0,60.0,4.0,12.0,22.753,9.634
80.0,60.0,4.0,18.0,22.517,9.95
80.0,60.0,4.0,24.0,22.288,10.512
80.0,60.0,6.0,15.0,9.8758,2.857
80.0,60.0,6.0,18.0,9.7787,2.918
80.0,60.0,6.0,21.0,9.755,2.9979999999999998
80.0,60.0,8.0,12.0,6.0172,1.173
80.0,60.0,8.0,15.0,5.9697,1.194
80.0,60.0,8.0,18.0,6.2528,1.222
80.0,60.0,8.0,21.0,6.0799,1.2590000000000001
80.0,60.0,8.0,24.0,6.152200000000001,1.307
80.0,60.0,10.0,15.0,3.9913,0.6066
80.0,60.0,10.0,18.0,3.9727,0.6224000000000001
80.0,60.0,10.0,21.0,3.9644,0.6432
80.0,60.0,12.0,12.0,2.839,3.407
80.0,60.0,12.0,18.0,2.7836,3.581
80.0,60.0,12.0,24.0,2.83,3.883
80.0,75.0,6.0,15.0,9.8161,2.857
80.0,75.0,6.0,18.0,9.8028,2.918
80.0,75.0,6.0,21.0,9.7255,2.9979999999999998
80.0,75.0,8.0,15.0,6.0255,1.194
80.0,75.0,8.0,18.0,6.0468,1.2229999999999999
