L1,L2,t,d,Secilen_Stress,Secilen_Displacement,Secilen_Kaynak,Kayit_Sayisi,Tum_Kaynaklar
40.0,30.0,4.0,12.0,23.013,0.09645,L_braket_6(1).csv,2,"L_Braket_Sonuclar.csv: S=23.013, D=0.09645 | L_braket_6(1).csv: S=23.013, D=0.09645"
40.0,30.0,4.0,15.0,22.819,0.09779,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.819, D=0.09779"
40.0,30.0,4.0,18.0,22.686,0.0996,L_braket_6(1).csv,2,"L_Braket_Sonuclar.csv: S=22.686, D=9.96 | L_braket_6(1).csv: S=22.686, D=0.0996"
40.0,30.0,4.0,21.0,22.477,0.10204,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.477, D=0.10204"
40.0,30.0,4.0,24.0,22.383,0.10522000000000001,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=22.383, D=0.10522000000000001"
40.0,30.0,6.0,12.0,9.9994,0.02811,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.9994, D=0.02811"
40.0,30.0,6.0,15.0,9.8001,0.02857,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.8001, D=0.02857"
40.0,30.0,6.0,18.0,9.8032,0.02919,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.8032, D=0.02919"
40.0,30.0,6.0,21.0,9.7222,0.02999,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.7222, D=0.02999"
40.0,30.0,8.0,12.0,6.1109,0.01172,L_braket_6(1).csv,2,"L_Braket_Sonuclar.csv: S=6.1109, D=0.01172 | L_braket_6(1).csv: S=6.1109, D=0.01172"
40.0,30.0,8.0,15.0,6.0156,0.01193,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=6.0156, D=0.01193"
40.0,30.0,8.0,18.0,6.0949,0.01222,L_braket_6(1).csv,2,"L_Braket_Sonuclar.csv: S=6.0949, D=0.01222 | L_braket_6(1).csv: S=6.0949, D=0.01222"
40.0,30.0,8.0,21.0,5.8024,0.01259,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=5.8024, D=0.01259"
40.0,30.0,8.0,24.0,6.0249,0.01306,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=6.0249, D=0.01306"
40.0,30.0,10.0,12.0,4.0689,0.005947,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=4.0689, D=0.005947"
40.0,30.0,10.0,15.0,4.0349,0.006068,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=4.0349, D=0.006068"
40.0,30.0,10.0,18.0,4.0709,0.006225,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=4.0709, D=0.006225"
40.0,30.0,10.0,21.0,3.8899,0.006432,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=3.8899, D=0.006432"
40.0,30.0,12.0,12.0,2.7568,0.03417,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=2.7568, D=0.03417"
40.0,30.0,12.0,18.0,2.7331,0.03593,L_Braket_Sonuclar.csv,2,"L_Braket_Sonuclar.csv: S=2.7331, D=0.03593 | L_Braket_Sonuclar.csv: S=2.7331, D=0.03593"
40.0,30.0,12.0,24.0,2.8522,0.03895,L_Braket_Sonuclar.csv,1,"L_Braket_Sonuclar.csv: S=2.8522, D=0.03895"
40.0,45.0,4.0,12.0,22.92,0.09639,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.92, D=0.09639"
40.0,45.0,4.0,15.0,22.691,0.09775,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.691, D=0.09775"
40.0,45.0,4.0,18.0,22.598,0.0996,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.598, D=0.0996"
40.0,45.0,4.0,21.0,22.488,0.10202,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.488, D=0.10202"
40.0,45.0,6.0,12.0,9.9226,0.0281,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.9226, D=0.0281"
40.0,45.0,6.0,15.0,9.9046,0.02856,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.9046, D=0.02856"
40.0,45.0,6.0,18.0,9.7957,0.02918,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.7957, D=0.02918"
40.0,45.0,6.0,21.0,9.7407,0.02998,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.7407, D=0.02998"
40.0,45.0,8.0,12.0,6.1675,0.01172,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=6.1675, D=0.01172"
40.0,45.0,8.0,15.0,5.9764,0.01194,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=5.9764, D=0.01194"
40.0,45.0,8.0,18.0,5.9728,0.01222,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=5.9728, D=0.01222"
40.0,45.0,8.0,21.0,6.0183,0.0126,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=6.0183, D=0.0126"
40.0,45.0,10.0,12.0,4.1306,0.005944,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=4.1306, D=0.005944"
